"Timestamp","What is your age?","What is your favorite shade of denim to WEAR?","What state do you currently live in? (where you usually live/work/pay rent etc)"
"2020/10/24 2:52:17 PM AST","18-22","Option 7","Michigan"
"2020/10/24 2:52:18 PM AST","23-29","Option 6","Michigan"
"2020/10/24 2:58:21 PM AST","23-29","Option 4","Michigan"
"2020/10/24 3:01:32 PM AST","23-29","Option 7","Michigan"
"2020/10/24 3:04:22 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:04:25 PM AST","23-29","Option 6","Michigan"
"2020/10/24 3:06:27 PM AST","23-29","Option 7","Michigan"
"2020/10/24 3:06:38 PM AST","50-59","Option 4","Outside of United States"
"2020/10/24 3:08:50 PM AST","23-29","Option 6","Michigan"
"2020/10/24 3:10:44 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:10:53 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:18:43 PM AST","18-22","Option 8","Outside of United States"
"2020/10/24 3:19:22 PM AST","18-22","Option 1","Michigan"
"2020/10/24 3:19:27 PM AST","23-29","Option 6","Outside of United States"
"2020/10/24 3:22:03 PM AST","18-22","Option 7","Outside of United States"
"2020/10/24 3:24:36 PM AST","30-39","Option 2","Washington"
"2020/10/24 3:27:18 PM AST","18-22","Option 8","Outside of United States"
"2020/10/24 3:30:14 PM AST","23-29","Option 7","Outside of United States"
"2020/10/24 3:30:22 PM AST","23-29","Option 7","Kentucky"
"2020/10/24 3:31:54 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:32:11 PM AST","18-22","Option 5","Michigan"
"2020/10/24 3:34:55 PM AST","23-29","Option 8","Michigan"
"2020/10/24 3:38:02 PM AST","18-22","Option 8","Michigan"
"2020/10/24 3:39:53 PM AST","23-29","Option 6","Michigan"
"2020/10/24 3:40:13 PM AST","18-22","Option 7","Michigan"
"2020/10/24 3:40:37 PM AST","23-29","Option 8","Virginia"
"2020/10/24 3:45:09 PM AST","23-29","Option 7","Washington"
"2020/10/24 3:46:58 PM AST","30-39","Option 7","New Jersey"
"2020/10/24 3:48:00 PM AST","23-29","Option 7","Michigan"
"2020/10/24 3:50:25 PM AST","23-29","Option 1","Michigan"
"2020/10/24 3:51:50 PM AST","18-22","Option 6","Michigan"
"2020/10/24 3:56:30 PM AST","18-22","Option 5","Michigan"
"2020/10/24 4:00:14 PM AST","40-49","Option 6","Texas"
"2020/10/24 4:00:16 PM AST","23-29","Option 2","Michigan"
"2020/10/24 4:04:54 PM AST","18-22","Option 8","Michigan"
"2020/10/24 4:05:07 PM AST","18-22","Option 5","Michigan"
"2020/10/24 4:06:51 PM AST","30-39","Option 8","Outside of United States"
"2020/10/24 4:08:21 PM AST","30-39","Option 4","Outside of United States"
"2020/10/24 4:12:55 PM AST","30-39","Option 7","New Jersey"
"2020/10/24 4:17:46 PM AST","14-17","Option 3","Indiana"
"2020/10/24 4:19:10 PM AST","30-39","Option 8","Outside of United States"
"2020/10/24 4:22:45 PM AST","23-29","Option 8","Outside of United States"
